"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C1";"0603C";2;"0.1uF";;;
2;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
3;"R1,R4,R3,R2";"0603R";4;"10k";;;
4;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
5;"G***";"Symbol-front-Pressure";1;"LOGO";;;
6;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
7;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;",,,,,,,,,,";"buzzardLabel";11;"";;;
9;"K1,K3";"easyC-connector";2;"easyC-SMD";;;
10;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
11;"U3";"SOT-23-5";1;"SE5218";;;
12;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
13;"G***";"Symbol-Front-Temperature";1;"LOGO";;;
14;"G***";"Symbol-Front-Humidity";1;"LOGO";;;
15;"U1";"SOT-363";1;"NMOS-DUAL";;;
16;"U2";"BME280";1;"BME280";;;
17;"G***";"Logo-Front-Soldered-3.5mm";1;"LOGO";;;
18;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
19;"C4,C3";"0603C";2;"2.2uF";;;
20;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
21;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
22;"Ref**";"Version1.0.0.";1;"Val**";;;
23;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
